Company Name,Batch,YC Profile URL,Website,Description,Status,Industries,Team Size,Location
Indemni,W24,https://www.ycombinator.com/companies/indemni,http://www.indemni.com,Cargo Theft and Fraud Prevention Platform,Active,B2B; Supply Chain and Logistics,7,"Mission St, San Francisco, CA, USA"
ParcelBio,W24,https://www.ycombinator.com/companies/parcelbio,https://parcelbio.com/,Next-generation mRNA medicines,Active,Healthcare; Therapeutics,5,
K-Scale Labs,W24,https://www.ycombinator.com/companies/k-scale-labs,https://kscale.dev/,Open-source humanoid robots,Active,Consumer; Consumer Electronics,10,"Palo Alto, CA, USA"
Marr Labs,W24,https://www.ycombinator.com/companies/marr-labs,https://www.marrlabs.com/,AI-voice agents that are indistinguishable from humans.,Active,B2B,9,"San Francisco, CA, USA"
Forge Rewards,W24,https://www.ycombinator.com/companies/forge-rewards,https://www.joinforge.app/,Starbucks app for restaurants,Active,B2B,2,"San Francisco, CA, USA"
Dropback,W24,https://www.ycombinator.com/companies/dropback,https://www.dropback.com,The front office software suite for college sports,Active,Fintech,2,
RetailReady,W24,https://www.ycombinator.com/companies/retailready,https://www.retailreadyai.com/,An AI-powered supply chain compliance engine,Active,B2B; Supply Chain and Logistics,12,
Same,W24,https://www.ycombinator.com/companies/same,https://same.new,Build products without coding,Active,Consumer; Content,5,"San Francisco, CA, USA"
NowHouse,W24,https://www.ycombinator.com/companies/nowhouse,https://www.nowhouse.io,NowHouse helps stock brokerages settle trades instantly.,Active,Fintech,,
GetCrux,W24,https://www.ycombinator.com/companies/getcrux,http://getcrux.ai/,AI Creative Strategist,Active,B2B; Analytics,9,"San Francisco, CA, USA"
Reprompt,W24,https://www.ycombinator.com/companies/reprompt,https://repromptai.com,AI Agents for Location,Active,"B2B; Engineering, Product and Design",3,
InspectMind AI,W24,https://www.ycombinator.com/companies/inspectmind-ai,https://www.inspectmind.ai,AI agent for construction drawings review,Active,Real Estate and Construction; Construction,3,"San Francisco, CA, USA"
Yarn,W24,https://www.ycombinator.com/companies/yarn-2,https://www.yarn.so,Make sales and marketing videos with AI.,Active,B2B,6,"New York, NY, USA"
Blacksmith,W24,https://www.ycombinator.com/companies/blacksmith,https://blacksmith.sh/,The fastest way to run your GitHub Actions,Active,B2B; Infrastructure,3,
