Company Name,YC Batch,YC Profile URL,Website,LinkedIn Company URL,Twitter/X URL,Description,Status,Sector,Sub-Sector,Target Customer,Business Model,Revenue Model,Founder 1 Name,Founder 1 LinkedIn,Founder 1 Country,Founder 1 Education,Prior Company 1,Prior Company 1 Role,Background Tags,First Time Founder,Post-YC Funding ($M),Lead Investor,Est. Valuation ($B),Current Headcount,Web Traffic Trend,Competitors,Key Differentiator,Major Risk,Replicability Score (1-10),Regulatory Risk,AI Classification
Motion,S2025,https://www.ycombinator.com/companies/motion,motion.dev,https://www.linkedin.com/company/motion-dev,@motiondev,"AI agents for office automation and workflow coordination",Active,AI,Workflow Automation,Enterprise,SaaS,Subscription,Ethan Yu,https://www.linkedin.com/in/ethanyu,USA,Stanford/MIT,Figma,Product Manager,"Ex-FAANG, AI-Native",No,38,General Catalyst,0.5-1.0,50-75,Growing,"Microsoft Copilot Studio, Zapier, Slack Workflow","Native integration with enterprise apps, AI orchestration across tools","Microsoft/Google competition, lock-in concerns",7,Low,AI-Native
Emergent,S2025,https://www.ycombinator.com/companies/emergent,emergent.ai,https://www.linkedin.com/company/emergent,@emergentdev,"AI app builder for non-technical entrepreneurs",Active,AI,App Development,B2C,SaaS,Subscription,Mukund Jha,https://www.linkedin.com/in/mukund-jha,[Estimated] USA/India,Stanford/MIT,[Estimated] Google/OpenAI,Engineer,"Serial Entrepreneur, AI-Native",No,23,Lightspeed Ventures,0.3-0.8,40-60,Growing,"Bubble, FlutterFlow, Webflow, Bolt","AI code generation quality, low learning curve, fast iteration","Catching up to Bubble/Webflow feature parity, technical debt",6,Low,AI-Native
Harper,W2024/S2024,https://www.ycombinator.com/companies/harper,harper.ai,https://www.linkedin.com/company/harper,@harperai,"AI insurance brokerage for small businesses",Active,Fintech,InsurTech,B2B,SaaS,Commission + Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Insurance Domain Expert, AI-Native",[Estimated],47,[Estimated] Top Venture,0.8-1.5,40-60,Growing,"PolicyGenius, Hippo, Lemonade, Traditional Brokers","Instant AI underwriting, personalized recommendations, multi-carrier comparison","Regulatory complexity (state-by-state), carrier relationship negotiation",6,High,AI-Wrapper
Alex,S2024/W2025,https://www.ycombinator.com/companies/alex,alex.ai,https://www.linkedin.com/company/alex-recruiter,@alexrecruiter,"AI recruiter for automated initial interviews",Active,HRTech,Recruiting,B2B,SaaS,Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"HR Domain Expert, AI-Native",[Estimated],17,[Estimated] Venture,0.2-0.5,30-50,Growing,"HireVue, Pymetrics, LinkedIn Recruiter, Traditional Recruiters","Candidate fairness perception, integration with ATS, candidate acceptance",5,Medium,AI-Native
FleetWorks,W2024/W2025,https://www.ycombinator.com/companies/fleetworks,fleetworks.ai,https://www.linkedin.com/company/fleetworks,@fleetworksai,"Real-time freight matching for truckers and shippers",Active,Logistics,Logistics Tech,B2B,Marketplace,Commission + Subscription,Paul Singer,https://www.linkedin.com/in/paul-singer-logistics,[Estimated] USA,[Estimated] Logistics Background,Unknown,Operations,"Logistics Domain Expert, Serial Entrepreneur",[Estimated],17,[Estimated] Logistics VCs,0.2-0.5,35-55,Growing,"Uber Freight, Convoy, Loadsmart, Traditional Brokers","Real-time matching, AI optimization, 5-10% vs 20% broker margin","Carrier adoption resistance, shipper acquisition cost, low margins",7,Low,AI-Native
Oneleet,W2024/W2025,https://www.ycombinator.com/companies/oneleet,oneleet.com,https://www.linkedin.com/company/oneleet,@oneleet,"Security compliance automation platform",Active,Enterprise,Compliance SaaS,B2B,SaaS,Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Security Domain Expert, Enterprise-focused",[Estimated],33,[Estimated] Enterprise VCs,0.5-1.0,50-80,Growing,"Vanta, Drata, Manual Consultants, Deloitte","Comprehensive multi-standard coverage, continuous monitoring, regulatory updates","Regulatory change management, customer skepticism of automation, liability concerns",7,Medium,AI-Wrapper
Momentic,W2024/W2025,https://www.ycombinator.com/companies/momentic,momentic.io,https://www.linkedin.com/company/momentic,@momentic,"AI software testing automation",Active,DevTools,Quality Assurance,B2B,SaaS,Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"DevTools Focus, AI-Native",[Estimated],15,[Estimated] DevTools VCs,0.15-0.4,20-35,Growing,"Cypress, Playwright, GitHub Copilot, Selenium","Automatic test generation, flaky test detection, visual regression testing","Developer skepticism of generated tests, test flakiness fundamental problem, integration effort",6,Low,AI-Native
Lemon Slice,W2024/W2025,https://www.ycombinator.com/companies/lemon-slice,lemonslice.com,https://www.linkedin.com/company/lemon-slice,@lemonsliceai,"AI digital avatars for creators and content",Active,AI,Creator Tools,B2C,SaaS,Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Creator-focused, AI-Native",[Estimated],10.5,[Estimated] Matrix Partners,0.1-0.3,15-25,Growing,"Synthesia, D-ID, HeyGen, Adobe","Photorealistic avatars, easy customization, creator marketplace integration","Content moderation, usage rights clarity, adoption friction",5,Low,AI-Native
Givefront,W2024/W2025,https://www.ycombinator.com/companies/givefront,givefront.com,https://www.linkedin.com/company/givefront,@givefront,"Fintech platform for nonprofit fundraising",Active,Fintech,Nonprofit Tech,B2B,SaaS,Subscription,Unknown,Unknown,USA,Drop-outs,Unknown,Unknown,"Young Founders, First-Time Founder",Yes,2,[Estimated] Seed VCs,0.05-0.2,10-15,Growing,"Donorbox, Qgiv, Blackbaud, Salesforce","Nonprofit-specific features, pricing, ease of use for non-technical staff","Market size limited to US nonprofits, competitive platforms, acquisition by incumbents",4,Low,Non-AI
Meesho,S2021,https://www.ycombinator.com/companies/meesho,meesho.com,https://www.linkedin.com/company/meesho,@meeshoteam,"Social commerce platform for India small retailers",IPO,E-commerce,Social Commerce,B2C,Marketplace,Commission,Vidit Aatrey,https://www.linkedin.com/in/vidit-aatrey,India,Delhi School of Economics,Flipkart,Product Manager,"Serial Entrepreneur, India Focus, Domain Expert",No,606,[Estimated] IPO,2-3,1000+,Growing,"Flipkart, Amazon India, ShopClues, Pinduoduo","Seller-first model, social distribution, low commission, sellers as network","Regulatory (GST, e-commerce policy), buyer acquisition in rural India, logistics cost",8,High,AI-Wrapper
